country,talent,infrastructure,operating environment,research,development,government strategy,commercial,total score,region,income group,political regime,ai preparedness index,gdp per capita (current us$),gdp per capita growth (annual %),real gdp growth (annual change in %),innovation and economic integration,digitial infrastructure,individuals using the internet (% of population),secure internet servers (per 1 million people),regulation and ethics,human capital and labor market policies
united states of america,100.0,94.02,64.56,100.0,100.0,77.39,100.0,100.0,Americas,High,Liberal democracy,0.5485714285714286,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.11857142857142858,0.13,89.2,5451.0,0.15857142857142859,0.13571428571428573
china,16.51,100.0,91.57,71.42,79.97,94.87,44.02,62.92,Asia-Pacific,Upper middle,Closed autocracy,0.64,12614.0,5.36,5.2,0.15,0.19,77.5,1508.0,0.15,0.15
united kingdom,39.65,71.43,74.65,36.5,25.03,82.82,18.91,40.93,Europe,High,Liberal democracy,0.73,49464.0,-0.48,0.3,0.16,0.18,96.3,47453.0,0.21,0.17
canada,31.28,77.05,93.94,30.67,25.78,100.0,14.88,40.19,Americas,High,Liberal democracy,0.71,53431.0,-1.68,1.2,0.16,0.17,94.0,42550.0,0.21,0.17
israel,35.76,67.58,82.44,32.63,27.96,43.91,27.33,39.89,Middle East,High,Liberal democracy,0.73,52642.0,0.33,2.0,0.19,0.17,87.0,13047.0,0.19,0.17
singapore,39.38,84.3,43.15,37.67,22.55,79.82,15.07,38.67,Asia-Pacific,High,Electoral democracy,0.8,84734.0,-3.72,1.1,0.18,0.21,94.3,228648.0,0.22,0.2
south korea,14.54,85.23,68.86,26.66,77.25,87.5,5.41,38.6,Asia-Pacific,High,Liberal democracy,0.6181818181818183,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.14,0.18,87.0,8083.0,0.17,0.15272727272727274
the netherlands,33.83,81.99,88.05,25.54,30.17,62.35,4.97,36.35,Europe,High,Liberal democracy,0.6711538461538461,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.15653846153846154,0.17,92.85,49768.0,0.18230769230769228,0.15846153846153846
germany,27.63,77.22,70.22,35.84,24.79,84.65,8.29,36.04,Europe,High,Liberal democracy,0.75,54343.0,0.35,-0.3,0.18,0.19,92.5,139985.0,0.2,0.18
france,28.32,77.15,80.02,25.48,21.44,91.2,7.65,34.42,Europe,High,Liberal democracy,0.7,44691.0,0.61,1.1,0.17,0.18,86.8,52083.0,0.18,0.16
australia,25.43,63.43,61.23,32.63,41.15,82.11,6.72,33.86,Asia-Pacific,High,Liberal democracy,0.73,64821.0,0.94,2.0,0.16,0.18,97.1,47568.0,0.21,0.17
ireland,29.93,89.5,70.15,16.79,30.85,69.44,3.94,33.04,Europe,High,Liberal democracy,0.69,103888.0,-8.06,-5.5,0.16,0.17,96.5,150045.0,0.19,0.17
finland,24.99,71.6,78.76,25.21,18.32,85.99,4.64,31.36,Europe,High,Liberal democracy,0.76,52926.0,-1.66,-1.2,0.17,0.19,93.5,153868.0,0.23,0.17
denmark,27.07,74.08,85.39,26.01,8.92,74.23,3.46,30.87,Europe,High,Liberal democracy,0.78,68454.0,1.74,2.5,0.18,0.2,98.8,261262.0,0.22,0.18
luxembourg,21.66,94.88,66.96,19.39,19.95,66.69,4.68,30.73,Europe,High,Liberal democracy,0.74,128678.0,-3.07,-1.1,0.15,0.19,99.3,60480.0,0.22,0.17
japan,15.18,84.58,57.53,22.51,34.47,71.96,7.31,30.53,Asia-Pacific,High,Liberal democracy,0.73,33767.0,2.18,1.7,0.18,0.18,87.0,31702.0,0.2,0.17
india,45.27,33.91,77.3,18.92,30.86,58.83,7.39,30.36,Asia-Pacific,Lower middle,Electoral autocracy,0.49,2481.0,7.2,8.2,0.11,0.11,81.80000000000001,966.0,0.15,0.12
switzerland,25.63,78.43,44.14,38.24,23.11,12.18,7.76,30.25,Europe,High,Liberal democracy,0.76,99565.0,-0.54,0.7,0.17,0.19,97.3,163635.0,0.21,0.19
sweden,28.21,75.19,66.77,27.61,17.81,40.35,4.51,29.85,Europe,High,Liberal democracy,0.75,55517.0,-0.78,-0.2,0.18,0.18,95.7,52996.0,0.21,0.17
hong kong,17.56,96.11,59.5,31.51,8.63,33.29,5.3,29.11,Asia-Pacific,High,Electoral democracy,0.7,50532.0,0.67,3.3,0.17,0.2,96.0,131227.0,0.17,0.16
spain,17.61,73.32,75.36,18.6,10.87,91.28,3.08,26.95,Europe,High,Liberal democracy,0.65,33509.0,1.43,2.7,0.16,0.17,95.4,28737.0,0.17,0.15
austria,16.97,64.49,76.3,23.56,17.81,72.14,3.08,26.89,Europe,High,Electoral democracy,0.72,56034.0,-1.93,-0.8,0.17,0.19,95.3,42281.0,0.2,0.16
estonia,18.74,63.65,88.67,11.75,9.31,72.08,12.51,26.6,Europe,High,Liberal democracy,0.76,30133.0,-4.54,-3.0,0.16,0.2,93.2,112224.0,0.22,0.18
taiwan,12.34,77.86,56.67,25.71,19.99,55.97,2.53,25.79,Asia-Pacific,High,Liberal democracy,0.6181818181818183,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.14,0.18,87.0,8083.0,0.17,0.15272727272727274
norway,27.61,76.2,36.65,21.18,13.56,59.05,3.95,25.77,Europe,High,Liberal democracy,0.71,87925.0,-0.66,0.5,0.16,0.17,99.0,37715.0,0.21,0.17
saudi arabia,4.49,70.8,100.0,13.63,14.38,91.63,4.73,25.6,Middle East,High,Closed autocracy,0.58,32094.0,-4.0,-0.8,0.12,0.14,100.0,431.0,0.14,0.18
belgium,15.17,65.1,64.08,22.15,19.81,63.58,5.31,25.52,Europe,High,Liberal democracy,0.67,54701.0,0.33,1.4,0.17,0.17,94.6,33643.0,0.16,0.16
poland,14.21,70.96,99.56,10.6,9.09,78.14,2.25,25.2,Europe,High,Electoral democracy,0.6,22057.0,0.51,0.2,0.14,0.17,86.4,37341.0,0.15,0.14
slovenia,13.02,72.06,94.55,19.1,1.06,80.38,0.61,25.19,Europe,High,Electoral democracy,0.63,32610.0,1.71,2.1,0.14,0.16,90.4,63979.0,0.18,0.15
new zealand,23.3,69.78,90.35,12.23,5.96,47.62,2.49,24.88,Asia-Pacific,High,Liberal democracy,0.75,48281.0,-1.31,0.6,0.16,0.19,96.2,18910.0,0.22,0.18
italy,11.09,64.76,83.25,20.3,14.66,61.43,2.64,24.45,Europe,High,Liberal democracy,0.62,39003.0,0.73,0.7,0.16,0.17,87.0,30239.0,0.15,0.13
russia,12.46,62.59,52.85,14.21,19.48,90.4,1.38,21.99,Europe,Upper middle,Electoral autocracy,0.6711538461538461,10411.0,2.11625,2.8625,0.15653846153846154,0.17,92.85,49768.0,0.18230769230769228,0.15846153846153846
malta,15.87,67.12,70.96,5.96,11.72,70.49,4.3,21.85,Europe,High,Electoral democracy,0.66,40396.0,3.37,7.5,0.15,0.17,92.1,4823.0,0.19,0.15
united arab emirates,2.65,79.16,72.12,5.13,15.53,81.38,3.22,21.17,Middle East,High,Closed autocracy,0.63,49041.0,-0.42,3.6,0.15,0.15,100.0,2120.0,0.17,0.15
portugal,13.43,64.2,80.66,8.96,3.92,70.69,2.05,20.89,Europe,High,Electoral democracy,0.65,27331.0,1.13,2.3,0.16,0.16,85.8,28927.0,0.18,0.15
czech republic,11.11,64.26,76.97,11.26,2.7,70.29,1.75,20.31,Europe,High,Electoral democracy,0.6711538461538461,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.15653846153846154,0.17,92.85,49768.0,0.18230769230769228,0.15846153846153846
iceland,18.45,72.45,41.19,18.29,0.19,22.15,5.74,19.81,Europe,High,Liberal democracy,0.7,79637.0,2.01,5.0,0.15,0.17,99.8,85403.0,0.21,0.17
lithuania,14.3,63.19,80.67,3.22,6.18,64.28,1.77,19.59,Europe,High,Electoral democracy,0.66,27786.0,-1.05,-0.3,0.15,0.18,88.5,96900.0,0.17,0.17
brazil,13.46,62.61,72.82,4.83,5.07,67.72,1.36,18.89,Americas,Upper middle,Electoral democracy,0.5,10295.0,2.5,2.9,0.11,0.14,84.2,5629.0,0.14,0.12
greece,7.62,55.44,83.58,15.12,2.21,22.15,0.92,17.33,Europe,High,Liberal democracy,0.58,23401.0,2.64,2.0,0.15,0.15,85.0,14230.0,0.14,0.14
slovakia,8.55,65.36,88.71,2.97,0.34,43.07,0.67,17.24,Europe,High,Electoral democracy,0.59,24491.0,1.47,1.4,0.14,0.17,87.2,39912.0,0.14,0.15
hungary,10.34,69.17,58.01,4.31,5.4,55.01,1.08,17.0,Europe,High,Electoral autocracy,0.56,22142.0,-0.37,-0.9,0.14,0.16,91.5,53718.0,0.14,0.13
malaysia,10.44,62.04,73.24,5.57,0.88,47.6,0.63,16.66,Asia-Pacific,Upper middle,Electoral autocracy,0.63,11379.0,2.29,3.6,0.14,0.15,97.7,8083.0,0.17,0.17
mexico,1.72,41.85,97.03,8.11,4.46,54.21,0.78,15.48,Americas,Upper middle,Electoral democracy,0.53,13790.0,2.3,3.2,0.13,0.13,81.2,412.0,0.14,0.14
chile,10.56,61.97,56.73,1.49,0.67,60.5,2.95,15.33,Americas,High,Liberal democracy,0.59,17068.0,-0.32,0.2,0.12,0.15,94.5,12300.0,0.17,0.14
argentina,8.4,56.15,75.95,1.25,3.19,54.94,0.34,15.24,Americas,Upper middle,Electoral democracy,0.47,14187.0,-1.89,-1.6,0.09,0.13,89.2,5451.0,0.14,0.12
qatar,0.0,67.97,62.58,11.94,0.0,33.49,0.0,14.66,Middle East,High,Closed autocracy,0.53,80196.0,1.24,1.2,0.13,0.13,99.7,450.0,0.13,0.14
turkey,8.49,40.74,64.34,9.53,1.02,67.45,0.95,14.39,Europe,High,Electoral democracy,0.54,13106.0,4.68,5.1,0.13,0.14,86.0,9882.0,0.13,0.14
colombia,4.97,54.8,62.37,0.0,0.89,85.29,0.5,13.85,Americas,Upper middle,Electoral democracy,0.49,6947.0,-0.51,0.6,0.1,0.12,77.3,1109.0,0.14,0.13
uruguay,7.28,58.77,70.75,0.73,0.26,30.92,0.43,13.27,Americas,High,Liberal democracy,0.55,22798.0,0.45,0.4,0.12,0.13,89.9,4353.0,0.17,0.13
bahrain,4.99,60.39,60.9,2.53,0.0,17.72,0.24,11.79,Middle East,High,Closed autocracy,0.52,29219.0,-0.44,3.0,0.14,0.12,100.0,5578.0,0.1,0.15
vietnam,6.34,55.76,37.61,2.03,0.3,68.86,0.31,11.62,Asia-Pacific,Lower middle,Closed autocracy,0.6181818181818183,3033.8888888888887,1.7844444444444447,2.9333333333333327,0.14,0.18,87.0,8083.0,0.17,0.15272727272727274
indonesia,5.51,47.52,51.18,0.98,3.52,59.99,0.91,11.47,Asia-Pacific,Lower middle,Electoral democracy,0.52,4876.0,4.17,5.0,0.11,0.12,69.2,2722.0,0.16,0.13
tunisia,8.94,38.59,62.32,3.9,0.0,12.18,0.15,9.87,Africa,Lower middle,Electoral democracy,0.47,3978.0,-0.63,0.0,0.1,0.11,72.4,818.0,0.12,0.13
south africa,4.61,45.73,58.43,0.83,7.52,0.0,2.03,9.71,Africa,Upper middle,Electoral democracy,0.5,6023.0,-0.63,0.7,0.11,0.12,75.7,14787.0,0.14,0.12
morocco,3.36,44.88,60.17,1.46,0.05,15.9,0.1,8.87,Africa,Lower middle,Closed autocracy,0.43,3771.0,2.34,3.4,0.11,0.1,91.0,568.0,0.1,0.12
armenia,6.69,37.84,58.4,0.28,0.33,14.4,1.37,8.49,Europe,Upper middle,Electoral democracy,0.49,8053.0,7.51,8.3,0.12,0.12,80.0,1167.0,0.13,0.12
sri lanka,6.27,34.64,35.79,0.12,0.95,35.57,0.09,6.62,Asia-Pacific,Lower middle,Electoral democracy,0.44,3828.0,-1.66,-2.3,0.09,0.11,51.2,482.0,0.11,0.13
egypt,1.11,38.84,0.0,2.08,1.54,68.72,0.31,4.83,Middle East,Lower middle,Electoral autocracy,0.39,3457.0,2.02,3.8,0.1,0.09,72.7,53.0,0.08,0.12
kenya,0.75,14.11,29.84,0.07,12.15,7.75,0.31,2.3,Africa,Lower middle,Electoral autocracy,0.45,1952.0,3.48,5.6,0.11,0.1,35.0,297.0,0.13,0.11
nigeria,2.74,0.0,50.1,0.45,2.06,7.75,0.33,1.38,Africa,Lower middle,Electoral autocracy,0.34,1597.0,0.72,2.9,0.09,0.08,39.2,48.0,0.07,0.09
pakistan,8.0,2.43,12.48,2.17,1.09,13.92,0.27,0.0,Asia-Pacific,Lower middle,Electoral autocracy,0.37,1365.0,-1.58,-0.2,0.09,0.08,27.4,113.0,0.11,0.1
